2015-11-29 9:08:53::catalogm/::common/home::common/home | start | 7.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch1 | 3291.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch2 | 3292.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3292.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3294.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3295ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3295.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3295.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3295.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3295.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3295.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3296ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3296.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3296.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3296.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3296.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3296.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3296.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3297ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3297.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3297.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3297.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3297.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3297.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3298.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3298.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3298.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3298.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3298.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3298.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3299ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3299.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3299.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3299.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3299.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3299.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3299.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3300ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3300.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3300.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3300.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3300.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3300.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3300.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3301.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3301.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3301.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3301.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3301.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3301.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3302.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3302.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3302.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3302.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3302.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3302.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3303.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3303.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3303.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3303.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3303.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3303.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3304.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3304.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3304.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3304.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3304.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3304.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3304.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3305ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3305.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3305.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3305.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3305.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3305.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3305.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3305.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3306.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3306.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3306.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3306.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3306.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3307.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3307.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3307.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3307.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3307.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3307.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3308.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3308.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3308.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3308.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3308.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3308.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3308.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3309ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3309.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3309.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3309.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3309.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3309.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3309.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3310.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3310.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3310.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3310.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3310.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3310.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3310.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3311ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3311.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3311.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3311.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3311.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3311.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3311.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3311.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3312ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3312.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3312.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3312.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3312.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3312.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3312.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3312.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3313ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3313.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3313.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3313.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3313.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3313.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3313.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3313.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3314ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3314.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3314.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3314.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3314.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3314.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3314.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3314.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3315ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3315.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3315.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3315.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3315.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3315.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3315.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3315.9ms,
